id,name
a9ec70e3-c2e4-43d4-bbaf-144ebba27676,IL-0DF2A5KQBEB3
674f38e7-021e-4169-aad0-d62a7f6590e2,JA-1709-OPTICS
c2e0b9be-2d52-4edb-a5c5-10db410904ac,CYLANCEOPTICSMV
1d509d4d-d9dd-42ae-b89c-ab056661492e,RW-Pat's Laptop
f5105cc3-8e83-4e09-ada6-f7774f8c85df,MAL-LW
7c8102b4-db1c-4902-a6fc-e1ea0932d858,TESTWIN10
8defbc47-395d-4c0b-9c44-988d48da8611,TEST-PC
2d4bc65d-f970-43dd-a90d-2604d76c1f8b,brad-virtual-machine
cc9212fa-ed48-4303-8630-0b5923a405df,brad-VirtualBox
94a699d0-6d3a-4012-a39e-6c800f5900e6,TK-OPTICS2
a145e512-1539-4f87-9515-8a383f992778,LUCAS-WIN7
d467cbcf-92c8-440f-9406-2c7f20b85e63,RS-WIN2008R2-2
7019ab36-07f4-4310-9013-163f16ef8baa,Alderman_RES-ONE_win7
eb6c2cb8-c03b-4a2c-b14b-157852600d8f,TK-OPTICS1
b0b67a06-357d-4328-b47f-943784f14022,RS-WIN2008R2
7ba20935-dfe5-42b9-a73f-392e84c88f4d,EAMAC-PROT2-VM
7727617c-1b90-4b94-b975-db2b92801a6b,SR-CY-D1-W7
54ad7fac-fdda-4bd2-b273-793a90f03ee1,OZDEMO
1517ec58-f7cc-49b2-8812-2c3acd53d478,Alderman_RESONE_test
0f44ed95-84af-46db-981a-525ccaf605c9,AM-WIN7X64
81638212-ae7a-4aa1-bd8e-6157a643b4f1,MM-WIN7R02VICT
6fe3f60b-db29-4b6f-a53d-60314aba91bf,AX-OPTICS
15d44ba6-bb92-455d-ae77-5ee4b4a3d238,EAMAC-PROT-VM
717a43bf-a815-44a7-af80-73d2c98e164c,EAVMAV10
9d6e22e3-141d-45bd-accd-02614345aa60,EAVMPROT10
dfa12a16-9ab1-46fe-9fc3-0ab13c44c2cb,macosx-demo
ed7ae2a5-284e-4994-af5f-15fd5e35d28e,Alderman Linux
29336c15-375b-400d-b1b2-1e4fbf557456,OPT-OSX-MM-02
a30ffa57-9984-4cf0-852a-ee708bbaead7,WEBBL-W7-64
260538a4-8193-436e-bd82-7ef711aefffe,JS-COS7-CYLANCE
0b2944e0-1914-4247-a037-bacfc28b567b,WEBBL-W7-ESXI
ed91a344-e54d-46d2-8f57-db3fa90e31b5,MCAFEE-VM
93bd4e8d-ffe9-44a0-9f27-1e2e9a1c28a0,WIN7X64
52a89496-4f10-4a22-aaec-b8ab8a35262f,BANLEONG
743cd6ff-d68a-40fa-9e55-7fd494278ce2,SR-CY-D6-W7
f51fd536-adda-4d06-9aee-ba657743de10,MacBook Air
f76af3b8-4645-42da-9f30-fe1a33830c57,M4800WIN71VM
5cd5291e-b034-4829-a1de-854adce0c1ec,M4800WIN7VM2
8ecb7190-9c54-433c-961a-d0ff449e4419,localhost.localdomain
4b14838c-ae62-4227-9f37-48e17e579562,WINKMAC-OSX-VM
99cd0834-20ef-4414-90da-c89605975871,VV-WIN7X64
eba91f98-93e1-4212-8758-be448500425a,CYLANCEAPAC
abe6aea7-84a6-4544-97c3-f6f1c306d7e6,LW-WIN7X64
5a69d836-6b37-4762-93bd-b9b49f0ddced,JS-W10-CYLANCE
cb5fcfb2-dd4b-473a-931d-57252cb0cf06,JS-W7-CYLANCE-O
fdf6733d-1eee-4352-87ef-046da07038da,CFS-Mac
29cd649e-a75c-4cd0-8031-b132d1c23f6d,WIN7X64
5c6a58e4-6391-4a7d-ae12-5e40a14d334b,Win7x64-1320
2dca6762-b494-4195-8800-944e6b9525cd,SOPHOS-VM
fbee1a4a-78e8-4b05-b7e6-10ac91f373c2,Rodger Laptop
4179e8d1-1c84-4edf-89f1-60d61036c94b,EAMAC-SIERRA-DEMO
3811902f-fc16-4049-a831-e4d992d9380d,W10X64BASE
62deda13-1128-44c7-b550-d840d5292986,TK-WIN10
8ca930d5-c6eb-4016-9ebd-a86217f13edb,jdoe’s Mac
a6519d1c-22c8-4198-981e-90b5a9c5668b,OSx’s Mac
279aeb9d-13e7-4ea9-948e-81a5f727dded,WIN7X64
da54e8e5-ff27-4610-a46c-b53af6b7cc5d,ZLINK-DEMO-CYLA
178a93e7-fc0e-4714-bb19-7bd93e468140,MTD
4bfd1f6c-5503-4dae-a3e9-c6219b22356e,DESKTOP-0N9VR2C
5a02ad9e-12ab-4164-aaa0-ad60151db37c,BWCYLANCE1
2d203aed-5564-4be4-a8cd-6e59b9357fb5,JMS-VM-DEMO
46c313db-febc-4a5f-adb5-1d0dbf79cc64,AFM-SEP12-CYL
55a2d600-6815-45f7-b26d-4d2380ffd02e,AFM_CYL_SEP
31e70df8-a467-45eb-a3b1-1c5c2f3ade08,MH-APPCONTROL-T
904ae41b-5dba-4295-ba4d-7683d26e0286,JMS-VM-OPTICS
e0cda1f9-b3b4-4190-aac6-92382f9064ab,JS-OPTICS2
8cc29a40-0ad6-4515-bd47-354198241348,AM-WIN7X64
d5ce7be0-b984-44dd-8eb7-841a262abfe1,MH-INST-TEST
19418b87-c52d-4855-94c2-e972aeea50b7,JTIETZE-OLDAGEN
0cf686f6-d835-413c-8923-b82bd54cbd8b,TESTPCS4405524D
b073c8bf-6da6-4092-8e53-b8bf6ba27364,aak-osx
f8597c9b-b2b5-40df-a721-86d68c913fbf,TK-UBT-PROTECT2
